Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Viveros,6-2019,6,2019,1.31,,282.7,338.81,1604.6,870.31,,,,,,,,,3.11,10529.05,12.69,32.58,289.82,22.06,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,7-2019,7,2019,0.72,,326.4,308.3,1715.97,803.43,,,,,,,,,4.22,11201.36,17.4,38.02,285.16,24.67,,1.25,,39.479653889163416,,-0.3697121931960339
Viveros,8-2019,8,2019,0.42,,129.97,276.53,966.05,658.75,,,,,,,,,4.92,10845.55,18.61,34.99,227.59,15.98,,0.02,,39.479653889163416,,-0.3697121931960339
Viveros,9-2019,9,2019,0.92,,160.43,249.5,1001.76,753.76,,,,,,,,,7.03,10743.19,24.41,30.94,413.06,19.78,,0.07,,39.479653889163416,,-0.3697121931960339
Viveros,10-2019,10,2019,0.74,,198.6,439.05,1455.24,616.08,,,,,,,,,4.02,8335.19,16.25,26.66,329.08,24.59,,0.04,,39.479653889163416,,-0.3697121931960339
Viveros,11-2019,11,2019,0.72,,373.32,420.13,2161.83,572.67,,,,,,,,,5.54,5480.06,22.68,28.56,200.12,51.67,,0.1,,39.479653889163416,,-0.3697121931960339
Viveros,12-2019,12,2019,0.79,,455.57,495.45,2594.31,745.93,,,,,,,,,9.93,8199.39,42.8,30.87,227.91,82.84,,0.38,,39.479653889163416,,-0.3697121931960339
Viveros,1-2020,1,2020,1.77,,1212.11,572.18,5029.38,596.37,,,,,,,,,13.65,9201.66,45.77,39.92,358.41,33.95,,1.87,,39.479653889163416,,-0.3697121931960339
Viveros,2-2020,2,2020,0.44,,252.46,384.06,1506.72,627.41,,,,,,,,,6.75,10041.06,28.66,32.19,453.81,71.79,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,3-2020,3,2020,0.95,,141.89,213.36,900.86,516.31,,,,,,,,,7.45,12391.72,28.47,29.75,301.9,35.18,,0.05,,39.479653889163416,,-0.3697121931960339
Viveros,4-2020,4,2020,0.2,,86.51,188.1,644.1,626.07,,,,,,,,,5.4,10696.47,21.92,19.74,434.98,37.9,,0.22,,39.479653889163416,,-0.3697121931960339
Viveros,5-2020,5,2020,0.61,,14.32,132.13,248.47,696.54,,,,,,,,,7.78,11093.17,24.16,20.75,346.15,41.0,,4.02,,39.479653889163416,,-0.3697121931960339
Viveros,6-2020,6,2020,0.4,,43.33,160.51,437.69,512.29,,,,,,,,,5.09,10262.37,18.06,26.47,388.7,18.94,,0.0,,39.479653889163416,,-0.3697121931960339
Viveros,7-2020,7,2020,0.24,,146.53,254.61,989.03,791.23,,,,,,,,,3.87,11203.72,13.81,30.96,290.75,18.8,,0.01,,39.479653889163416,,-0.3697121931960339
Viveros,8-2020,8,2020,0.54,,609.04,238.23,2409.06,812.75,,,,,,,,,3.11,12085.87,10.05,34.15,359.9,34.43,,0.12,,39.479653889163416,,-0.3697121931960339
Viveros,9-2020,9,2020,0.26,,99.96,261.34,819.38,696.13,,,,,,,,,3.42,8772.19,13.37,26.82,544.04,21.65,,0.02,,39.479653889163416,,-0.3697121931960339
Viveros,10-2020,10,2020,0.49,,180.98,342.3,1202.36,559.19,,,,,,,,,4.18,9162.48,16.92,18.91,506.49,32.23,,0.02,,39.479653889163416,,-0.3697121931960339
Viveros,11-2020,11,2020,0.54,,341.35,424.41,1918.87,519.9,,,,,,,,,4.37,9870.45,19.73,28.85,292.5,58.1,,1.35,,39.479653889163416,,-0.3697121931960339
Viveros,12-2020,12,2020,0.94,,546.8,401.98,2606.62,637.27,,,,,,,,,4.24,8811.8,18.39,29.62,334.06,37.1,,0.0,,39.479653889163416,,-0.3697121931960339
